Location,Index Year,Breakdown,Characteristic,Rank,z_rate,z_oppshare,z_startup_den,norm_rate,norm_opp,norm_density,year_CPS,OppShare_New_Entrp,Rate_New_Entrp,startup_index,year_BDS,startup_density,Composition_of_New_Entrp,rank_last_y,rank_diff,index_last_y,index_diff,Location_name,Category,OppShare_New_Entrp_web,Rate_New_Entrp_web,location_category,index_diff_text,dataset
0,2013,Race,Asian,,,,,,,,2013,0.85677,0.00279,,,,0.0612,,,,,United States,National,8.5677,278.51031,the,.,national_demog
0,2014,Race,Asian,,,,,,,,2014,0.8734,0.00334,,,,0.068,,,,,United States,National,8.734,333.87839,the,.,national_demog
0,2010,Gender,Male,,,,,,,,2010,0.7041,0.00439,,,,0.6224,,,,,United States,National,7.041,438.569,the,.,national_demog
0,2016,Gender,Female,,,,,,,,2016,0.87299,0.00232,,,,0.3949,,,,,United States,National,8.7299,231.78011,the,.,national_demog
0,2005,Race,Latino,,,,,,,,2005,0.75482,0.00307,,,,0.138,,,,,United States,National,7.5482,307.25711,the,.,national_demog
0,1998,Education,Some College,,,,,,,,1998,0.81447,0.003,,,,0.2612,,,,,United States,National,8.1447,300.06339,the,.,national_demog
0,2001,Education,Some College,,,,,,,,2001,0.86901,0.00268,,,,0.2578,,,,,United States,National,8.6901,267.8237,the,.,national_demog
0,2011,Nativity,Immigrant,,,,,,,,2011,0.71418,0.00552,,,,0.2798,,,,,United States,National,7.1418,552.46631,the,.,national_demog
0,1999,Veteran Status,Veterans,,,,,,,,1999,0.81787,0.003,,,,0.1118,,,,,United States,National,8.1787,299.5213,the,.,national_demog
0,2010,Age,Ages 45-54,,,,,,,,2010,0.76349,0.00353,,,,0.2518,,,,,United States,National,7.6349,352.65619,the,.,national_demog
0,2013,Gender,Female,,,,,,,,2013,0.83957,0.00218,,,,0.4127,,,,,United States,National,8.3957,218.12219,the,.,national_demog
0,2008,Gender,Female,,,,,,,,2008,0.89212,0.00228,,,,0.3749,,,,,United States,National,8.9212,227.90311,the,.,national_demog
0,2013,Nativity,Immigrant,,,,,,,,2013,0.75722,0.00429,,,,0.2589,,,,,United States,National,7.5722,429.20761,the,.,national_demog
0,2013,Education,Some College,,,,,,,,2013,0.77835,0.00274,,,,0.2561,,,,,United States,National,7.7835,273.94229,the,.,national_demog
0,2014,Education,College Graduate,,,,,,,,2014,0.82446,0.0032,,,,0.3298,,,,,United States,National,8.2446,320.35519,the,.,national_demog
0,2009,Race,Black,,,,,,,,2009,0.73767,0.00265,,,,0.0966,,,,,United States,National,7.3767,265.35901,the,.,national_demog
0,2009,Race,Latino,,,,,,,,2009,0.7382,0.00457,,,,0.1874,,,,,United States,National,7.382,457.01971,the,.,national_demog
0,2009,Race,White,,,,,,,,2009,0.7949,0.00325,,,,0.6457,,,,,United States,National,7.949,325.08191,the,.,national_demog
0,2003,Age,Ages 55-64,,,,,,,,2003,0.87614,0.00347,,,,0.187,,,,,United States,National,8.7614,347.02109,the,.,national_demog
0,2002,,,,-0.91743,-0.84637,0.55354,14.28572,23.82844,72.92384,2002,0.7684,0.0028,-0.4,2002,101.07,,,,-0.11,-0.29,United States,National,7.684,280,the,a slight decrease,National_Profile
0,2005,Race,White,,,,,,,,2005,0.80552,0.0029,,,,0.6955,,,,,United States,National,8.0552,289.55359,the,.,national_demog
0,2009,Age,Ages 20-34,,,,,,,,2009,0.74109,0.00244,,,,0.2466,,,,,United States,National,7.4109,243.6174,the,.,national_demog
0,2008,Race,Asian,,,,,,,,2008,0.88262,0.00335,,,,0.054,,,,,United States,National,8.8262,335.4144,the,.,national_demog
0,2002,Veteran Status,Veterans,,,,,,,,2002,0.782,0.00323,,,,0.1033,,,,,United States,National,7.82,322.58459,the,.,national_demog
0,2006,Gender,Female,,,,,,,,2006,0.87578,0.0024,,,,0.423,,,,,United States,National,8.7578,240.2493,the,.,national_demog
0,2014,Age,Ages 35-44,,,,,,,,2014,0.79375,0.00334,,,,0.2288,,,,,United States,National,7.9375,334.2699,the,.,national_demog
0,2014,Education,High School Graduate,,,,,,,,2014,0.77849,0.00342,,,,0.2945,,,,,United States,National,7.7849,341.8241,the,.,national_demog
0,2000,Education,College Graduate,,,,,,,,2000,0.86969,0.00256,,,,0.2494,,,,,United States,National,8.6969,256.2262,the,.,national_demog
0,2014,Nativity,Native-Born,,,,,,,,2014,0.78761,0.00265,,,,0.7146,,,,,United States,National,7.8761,265.44611,the,.,national_demog
0,2001,Education,High School Graduate,,,,,,,,2001,0.845,0.00257,,,,0.2915,,,,,United States,National,8.45,257.37521,the,.,national_demog
0,1999,Race,Latino,,,,,,,,1999,0.76221,0.0031,,,,0.1223,,,,,United States,National,7.6221,310.12109,the,.,national_demog
0,2006,Gender,Male,,,,,,,,2006,0.74001,0.00362,,,,0.577,,,,,United States,National,7.4001,361.68869,the,.,national_demog
0,1997,Education,Some College,,,,,,,,1997,,0.00306,,,,0.2795,,,,,United States,National,,305.7789,the,.,national_demog
0,1998,Education,College Graduate,,,,,,,,1998,0.83851,0.00293,,,,0.2582,,,,,United States,National,8.3851,293.09851,the,.,national_demog
0,2015,Education,Some College,,,,,,,,2015,0.79982,0.00334,,,,0.2598,,,,,United States,National,7.9982,333.65851,the,.,national_demog
0,2007,Race,Latino,,,,,,,,2007,0.78996,0.00402,,,,0.1794,,,,,United States,National,7.8996,401.90079,the,.,national_demog
0,1987,,,,,,3.06822,,,,,,,,1987,130.19,,,,,,United States,National,,,the,.,National_Profile
0,2014,Veteran Status,Non-Veterans,,,,,,,,2014,0.79223,0.00309,,,,0.9444,,,,,United States,National,7.9223,308.814,the,.,national_demog
0,2001,,,,-1.37615,0.87151,0.16148,0,72.67673,58.69633,2001,0.8299,0.0027,-0.11,2001,96.53,,,,0.29,-0.4,United States,National,8.299,270,the,a slight decrease,National_Profile
0,2003,Age,Ages 20-34,,,,,,,,2003,0.77339,0.00235,,,,0.2708,,,,,United States,National,7.7339,234.7856,the,.,national_demog
0,2002,Age,Ages 55-64,,,,,,,,2002,0.90073,0.00301,,,,0.1684,,,,,United States,National,9.0073,301.0928,the,.,national_demog
0,2011,Veteran Status,Veterans,,,,,,,,2011,0.71715,0.00298,,,,0.0604,,,,,United States,National,7.1715,298.29871,the,.,national_demog
0,2003,Nativity,Native-Born,,,,,,,,2003,0.78792,0.00289,,,,0.8134,,,,,United States,National,7.8792,288.7132,the,.,national_demog
0,2008,Age,Ages 35-44,,,,,,,,2008,0.79571,0.00339,,,,0.245,,,,,United States,National,7.9571,339.02679,the,.,national_demog
0,2015,Gender,Male,,,,,,,,2015,0.78046,0.00416,,,,0.5944,,,,,United States,National,7.8046,415.94229,the,.,national_demog
0,2015,Race,Black,,,,,,,,2015,0.76779,0.0023,,,,0.089,,,,,United States,National,7.6779,229.97141,the,.,national_demog
0,2002,Gender,Male,,,,,,,,2002,0.76549,0.00345,,,,0.5864,,,,,United States,National,7.6549,345.39621,the,.,national_demog
0,1996,Education,High School Graduate,,,,,,,,1996,,0.00314,,,,0.3234,,,,,United States,National,,313.5448,the,.,national_demog
0,2000,Education,High School Graduate,,,,,,,,2000,0.84148,0.00291,,,,0.3307,,,,,United States,National,8.4148,290.7056,the,.,national_demog
0,2002,Race,White,,,,,,,,2002,0.8276,0.00283,,,,0.7218,,,,,United States,National,8.276,282.7782,the,.,national_demog
0,2012,Race,Black,,,,,,,,2012,0.69699,0.00208,,,,0.0876,,,,,United States,National,6.9699,207.8817,the,.,national_demog
0,2015,Race,Latino,,,,,,,,2015,0.77213,0.0046,,,,0.208,,,,,United States,National,7.7213,459.72241,the,.,national_demog
0,2015,Race,Other,,,,,,,,2015,,,,,,0.0389,,,,,United States,National,,,the,.,national_demog
0,1996,Nativity,Native-Born,,,,,,,,1996,,0.0031,,,,0.8671,,,,,United States,National,,309.7677,the,.,national_demog
0,2015,Nativity,Native-Born,,,,,,,,2015,0.80909,0.00292,,,,0.7252,,,,,United States,National,8.0909,292.33371,the,.,national_demog
0,2007,Age,Ages 55-64,,,,,,,,2007,0.86455,0.0031,,,,0.1905,,,,,United States,National,8.6455,310.0098,the,.,national_demog
0,2015,Veteran Status,Veterans,,,,,,,,2015,0.75726,0.00261,,,,0.0409,,,,,United States,National,7.5726,260.64429,the,.,national_demog
0,2002,Education,Some College,,,,,,,,2002,0.84092,0.00268,,,,0.2466,,,,,United States,National,8.4092,267.8262,the,.,national_demog
0,1999,Education,Some College,,,,,,,,1999,0.8221,0.00287,,,,0.2722,,,,,United States,National,8.221,287.03589,the,.,national_demog
0,2007,Education,College Graduate,,,,,,,,2007,0.85269,0.00325,,,,0.3151,,,,,United States,National,8.5269,325.04831,the,.,national_demog
0,2016,Nativity,Immigrant,,,,,,,,2016,0.83472,0.00517,,,,0.295,,,,,United States,National,8.3472,516.57147,the,.,national_demog
0,2000,Education,Some College,,,,,,,,2000,0.84673,0.00279,,,,0.2642,,,,,United States,National,8.4673,279.18799,the,.,national_demog
0,2006,Race,Asian,,,,,,,,2006,0.85446,0.00314,,,,0.051,,,,,United States,National,8.5446,313.88831,the,.,national_demog
0,2005,Age,Ages 20-34,,,,,,,,2005,0.7657,0.00266,,,,0.3212,,,,,United States,National,7.657,266.3461,the,.,national_demog
0,2006,Veteran Status,Veterans,,,,,,,,2006,0.7415,0.00354,,,,0.0919,,,,,United States,National,7.415,354.4288,the,.,national_demog
0,2016,Race,Asian,,,,,,,,2016,0.88231,0.00344,,,,0.0759,,,,,United States,National,8.8231,343.93201,the,.,national_demog
0,2008,Age,Ages 20-34,,,,,,,,2008,0.77099,0.00263,,,,0.2811,,,,,United States,National,7.7099,263.49539,the,.,national_demog
0,1981,,,,,,2.81261,,,,,,,,1981,127.23,,,,,,United States,National,,,the,.,National_Profile
0,2015,Age,Ages 35-44,,,,,,,,2015,0.81478,0.00405,,,,0.2549,,,,,United States,National,8.1478,404.68961,the,.,national_demog
0,1999,Race,White,,,,,,,,1999,0.83402,0.00278,,,,0.7427,,,,,United States,National,8.3402,277.50989,the,.,national_demog
0,2006,Education,Some College,,,,,,,,2006,0.78703,0.00327,,,,0.2835,,,,,United States,National,7.8703,327.24631,the,.,national_demog
0,1986,,,,,,2.86356,,,,,,,,1986,127.82,,,,,,United States,National,,,the,.,National_Profile
0,2006,Race,Latino,,,,,,,,2006,0.78344,0.00342,,,,0.1496,,,,,United States,National,7.8344,342.19351,the,.,national_demog
0,2000,Age,Ages 45-54,,,,,,,,2000,0.832,0.00299,,,,0.2487,,,,,United States,National,8.32,299.23318,the,.,national_demog
0,2015,Veteran Status,Non-Veterans,,,,,,,,2015,0.8087,0.00338,,,,0.9591,,,,,United States,National,8.087,337.7915,the,.,national_demog
0,2000,Race,Black,,,,,,,,2000,0.75981,0.00232,,,,0.107,,,,,United States,National,7.5981,232.0482,the,.,national_demog
0,2005,Veteran Status,Non-Veterans,,,,,,,,2005,0.78354,0.00281,,,,0.9076,,,,,United States,National,7.8354,280.58911,the,.,national_demog
0,2006,Age,Ages 35-44,,,,,,,,2006,0.77582,0.003,,,,0.2418,,,,,United States,National,7.7582,299.9628,the,.,national_demog
0,2006,Age,Ages 20-34,,,,,,,,2006,0.77558,0.00237,,,,0.2711,,,,,United States,National,7.7558,236.94659,the,.,national_demog
0,2012,Race,Asian,,,,,,,,2012,0.86631,0.00313,,,,0.0615,,,,,United States,National,8.6631,313.09549,the,.,national_demog
0,2006,Age,Ages 45-54,,,,,,,,2006,0.79614,0.0035,,,,0.2814,,,,,United States,National,7.9614,349.57971,the,.,national_demog
0,1998,Race,Asian,,,,,,,,1998,0.84936,0.00255,,,,0.0347,,,,,United States,National,8.4936,254.97951,the,.,national_demog
0,2010,Age,Ages 55-64,,,,,,,,2010,0.85073,0.00387,,,,0.2287,,,,,United States,National,8.5073,387.2515,the,.,national_demog
0,1993,,,,,,1.03713,,,,,,,,1993,106.67,,,,,,United States,National,,,the,.,National_Profile
0,2002,Age,Ages 45-54,,,,,,,,2002,0.823,0.00311,,,,0.2621,,,,,United States,National,8.23,310.88071,the,.,national_demog
0,2006,Education,High School Graduate,,,,,,,,2006,0.78612,0.00292,,,,0.2855,,,,,United States,National,7.8612,291.95401,the,.,national_demog
0,2006,,,,0,0.25698,1.12608,42.85714,55.20254,93.70103,2006,0.8079,0.003,0.46,2006,107.7,,,,-0.06,0.52,United States,National,8.079,300,the,a slight increase,National_Profile
0,2007,,,,0,0.08101,0.48446,42.85714,50.19857,70.41679,2007,0.8016,0.003,0.19,2007,100.27,,,,0.46,-0.27,United States,National,8.016,300,the,a slight decrease,National_Profile
0,1989,,,,,,1.54059,,,,,,,,1989,112.5,,,,,,United States,National,,,the,.,National_Profile
0,2012,,,,0,-0.41341,-1.08808,42.85714,36.13979,13.35003,2012,0.7839,0.003,-0.5,2012,82.06,,,,-0.62,0.12,United States,National,7.839,300,the,basically no changes ,National_Profile
0,2014,,,,0.45872,-0.0838,-1.27893,57.14286,45.51231,6.42431,2014,0.7957,0.0031,-0.3,2014,79.85,,,,-0.87,0.57,United States,National,7.957,310,the,a slight increase,National_Profile
0,2005,Education,College Graduate,,,,,,,,2005,0.80496,0.00286,,,,0.2839,,,,,United States,National,8.0496,285.80139,the,.,national_demog
0,2016,Veteran Status,Veterans,,,,,,,,2016,0.79514,0.00251,,,,0.0416,,,,,United States,National,7.9514,250.9108,the,.,national_demog
0,2015,,,,1.37615,1.15643,-1.12953,85.71429,80.7784,11.84581,2015,0.8401,0.0033,0.47,2015,81.58,,,,-0.3,0.77,United States,National,8.401,330,the,a slight increase,National_Profile
0,2009,Nativity,Native-Born,,,,,,,,2009,0.78729,0.00302,,,,0.7573,,,,,United States,National,7.8729,302.23599,the,.,national_demog
0,2003,Age,Ages 45-54,,,,,,,,2003,0.78725,0.00312,,,,0.2431,,,,,United States,National,7.8725,311.9165,the,.,national_demog
0,2012,Age,Ages 20-34,,,,,,,,2012,0.7316,0.0023,,,,0.2617,,,,,United States,National,7.316,229.58681,the,.,national_demog
0,2005,Age,Ages 45-54,,,,,,,,2005,0.78512,0.00261,,,,0.2193,,,,,United States,National,7.8512,261.46301,the,.,national_demog
0,2014,Veteran Status,Veterans,,,,,,,,2014,0.70038,0.00311,,,,0.0556,,,,,United States,National,7.0038,311.47421,the,.,national_demog
0,1998,Nativity,Immigrant,,,,,,,,1998,0.79098,0.00314,,,,0.1368,,,,,United States,National,7.9098,313.85831,the,.,national_demog
0,2004,Nativity,Native-Born,,,,,,,,2004,0.77866,0.00282,,,,0.7939,,,,,United States,National,7.7866,281.69409,the,.,national_demog
0,2004,Nativity,Immigrant,,,,,,,,2004,0.77284,0.0041,,,,0.2061,,,,,United States,National,7.7284,410.4212,the,.,national_demog
0,1998,Education,High School Graduate,,,,,,,,1998,0.80598,0.00299,,,,0.332,,,,,United States,National,8.0598,299.44739,the,.,national_demog
0,2008,Gender,Male,,,,,,,,2008,0.75075,0.00418,,,,0.6251,,,,,United States,National,7.5075,418.15701,the,.,national_demog
0,2016,Nativity,Native-Born,,,,,,,,2016,0.83173,0.00262,,,,0.705,,,,,United States,National,8.3173,262.31439,the,.,national_demog
0,2014,Age,Ages 20-34,,,,,,,,2014,0.76072,0.00221,,,,0.2473,,,,,United States,National,7.6072,220.8512,the,.,national_demog
0,1997,Race,Asian,,,,,,,,1997,,0.00226,,,,0.031,,,,,United States,National,,226.3647,the,.,national_demog
0,1999,Race,Other,,,,,,,,1999,,,,,,0.0034,,,,,United States,National,,,the,.,national_demog
0,2003,Veteran Status,Veterans,,,,,,,,2003,0.75459,0.00369,,,,0.1039,,,,,United States,National,7.5459,369.27551,the,.,national_demog
0,2007,Nativity,Immigrant,,,,,,,,2007,0.82074,0.00463,,,,0.2463,,,,,United States,National,8.2074,463.2767,the,.,national_demog
0,1999,Gender,Female,,,,,,,,1999,0.87307,0.00224,,,,0.4411,,,,,United States,National,8.7307,224.23331,the,.,national_demog
0,2003,Race,Other,,,,,,,,2003,,,,,,0.0263,,,,,United States,National,,,the,.,national_demog
0,2003,Race,Latino,,,,,,,,2003,0.78833,0.00397,,,,0.1626,,,,,United States,National,7.8833,397.2709,the,.,national_demog
0,2005,Gender,Female,,,,,,,,2005,0.8618,0.0023,,,,0.4241,,,,,United States,National,8.618,229.5498,the,.,national_demog
0,2013,Nativity,Native-Born,,,,,,,,2013,0.77332,0.00246,,,,0.7411,,,,,United States,National,7.7332,246.1925,the,.,national_demog
0,1998,Education,Less than High School,,,,,,,,1998,0.73784,0.00329,,,,0.1487,,,,,United States,National,7.3784,328.58429,the,.,national_demog
0,1998,Gender,Female,,,,,,,,1998,0.87255,0.00252,,,,0.4645,,,,,United States,National,8.7255,252.1937,the,.,national_demog
0,2003,Gender,Male,,,,,,,,2003,0.7333,0.00384,,,,0.6017,,,,,United States,National,7.333,383.89041,the,.,national_demog
0,2008,Age,Ages 45-54,,,,,,,,2008,0.808,0.00346,,,,0.2624,,,,,United States,National,8.08,345.6684,the,.,national_demog
0,2000,,,,-1.37615,1.8324,0.42832,0,100,68.37982,2000,0.8643,0.0027,0.29,2000,99.62,,,,0.16,0.13,United States,National,8.643,270,the,basically no changes ,National_Profile
0,2003,Education,Less than High School,,,,,,,,2003,0.76232,0.00438,,,,0.169,,,,,United States,National,7.6232,437.65948,the,.,national_demog
0,2003,Education,High School Graduate,,,,,,,,2003,0.80393,0.00311,,,,0.302,,,,,United States,National,8.0393,310.55688,the,.,national_demog
0,2010,,,,1.83486,-1.59497,-1.45596,100,2.5417,0,2010,0.7416,0.0034,-0.41,2010,77.8,,,,-0.35,-0.06,United States,National,7.416,340,the,basically no changes ,National_Profile
0,2013,Age,Ages 20-34,,,,,,,,2013,0.74404,0.00182,,,,0.2266,,,,,United States,National,7.4404,182.4836,the,.,national_demog
0,2009,,,,1.83486,-1.68436,-1.19516,100,0,9.46411,2009,0.7384,0.0034,-0.35,2009,80.82,,,,0.36,-0.71,United States,National,7.384,340,the,a slight decrease,National_Profile
0,2004,Gender,Male,,,,,,,,2004,0.72259,0.00373,,,,0.5867,,,,,United States,National,7.2259,372.60461,the,.,national_demog
0,1997,Gender,Male,,,,,,,,1997,,0.00356,,,,0.6006,,,,,United States,National,,355.53839,the,.,national_demog
0,1997,Nativity,Immigrant,,,,,,,,1997,,0.00327,,,,0.1418,,,,,United States,National,,327.4476,the,.,national_demog
0,1997,Nativity,Native-Born,,,,,,,,1997,,0.00273,,,,0.8582,,,,,United States,National,,272.8382,the,.,national_demog
0,2014,Race,White,,,,,,,,2014,0.79713,0.0029,,,,0.5909,,,,,United States,National,7.9713,289.69229,the,.,national_demog
0,1996,Age,Ages 55-64,,,,,,,,1996,,0.00341,,,,0.1483,,,,,United States,National,,341.10211,the,.,national_demog
0,1997,Race,Latino,,,,,,,,1997,,0.00319,,,,0.1168,,,,,United States,National,,318.97861,the,.,national_demog
0,2012,Education,Some College,,,,,,,,2012,0.76268,0.00283,,,,0.2439,,,,,United States,National,7.6268,282.59171,the,.,national_demog
0,2015,Race,Asian,,,,,,,,2015,0.86365,0.00287,,,,0.0566,,,,,United States,National,8.6365,287.4938,the,.,national_demog
0,1998,Age,Ages 45-54,,,,,,,,1998,0.81087,0.00284,,,,0.2125,,,,,United States,National,8.1087,284.27841,the,.,national_demog
0,2015,Age,Ages 45-54,,,,,,,,2015,0.80205,0.00375,,,,0.2525,,,,,United States,National,8.0205,374.61301,the,.,national_demog
0,2010,Veteran Status,Non-Veterans,,,,,,,,2010,0.76246,0.00341,,,,0.9465,,,,,United States,National,7.6246,340.83719,the,.,national_demog
0,2013,Age,Ages 55-64,,,,,,,,2013,0.80513,0.00305,,,,0.234,,,,,United States,National,8.0513,305.03448,the,.,national_demog
0,1999,Nativity,Immigrant,,,,,,,,1999,0.78074,0.00323,,,,0.1518,,,,,United States,National,7.8074,323.2739,the,.,national_demog
0,2013,Education,Less than High School,,,,,,,,2013,0.69974,0.00481,,,,0.1685,,,,,United States,National,6.9974,481.1745,the,.,national_demog
0,1996,,,,0.91743,0.34637,1.29965,71.42857,57.74424,100,1996,0.8111,0.0032,0.85,1996,109.71,,,,,,United States,National,8.111,320,the,.,National_Profile
0,1991,,,,,,1.10708,,,,,,,,1991,107.48,,,,,,United States,National,,,the,.,National_Profile
0,2002,Race,Black,,,,,,,,2002,0.74331,0.00237,,,,0.1069,,,,,United States,National,7.4331,236.52901,the,.,national_demog
0,2006,Education,College Graduate,,,,,,,,2006,0.83362,0.00299,,,,0.2862,,,,,United States,National,8.3362,298.9368,the,.,national_demog
0,2010,Race,White,,,,,,,,2010,0.7782,0.00306,,,,0.6015,,,,,United States,National,7.782,305.83759,the,.,national_demog
0,1999,Race,Black,,,,,,,,1999,0.7217,0.00206,,,,0.0957,,,,,United States,National,7.217,206.22549,the,.,national_demog
0,1997,Education,High School Graduate,,,,,,,,1997,,0.0027,,,,0.3162,,,,,United States,National,,270.28229,the,.,national_demog
0,2014,Gender,Male,,,,,,,,2014,0.75218,0.00409,,,,0.6318,,,,,United States,National,7.5218,409.08859,the,.,national_demog
0,2013,Veteran Status,Veterans,,,,,,,,2013,0.69808,0.0023,,,,0.0481,,,,,United States,National,6.9808,230.4653,the,.,national_demog
0,2012,Veteran Status,Veterans,,,,,,,,2012,0.68735,0.00282,,,,0.057,,,,,United States,National,6.8735,281.99011,the,.,national_demog
0,2008,Race,Black,,,,,,,,2008,0.75864,0.00219,,,,0.0832,,,,,United States,National,7.5864,218.7514,the,.,national_demog
0,1998,Nativity,Native-Born,,,,,,,,1998,0.80732,0.00283,,,,0.8632,,,,,United States,National,8.0732,282.64911,the,.,national_demog
0,2000,Nativity,Immigrant,,,,,,,,2000,0.8277,0.00322,,,,0.1587,,,,,United States,National,8.277,322.2197,the,.,national_demog
0,1998,Race,Other,,,,,,,,1998,,,,,,0.0131,,,,,United States,National,,,the,.,national_demog
0,1999,Age,Ages 20-34,,,,,,,,1999,0.79003,0.00256,,,,0.3393,,,,,United States,National,7.9003,256.0517,the,.,national_demog
0,2016,Race,White,,,,,,,,2016,0.84678,0.00276,,,,0.5559,,,,,United States,National,8.4678,275.61011,the,.,national_demog
0,1997,Age,Ages 55-64,,,,,,,,1997,,0.00312,,,,0.1536,,,,,United States,National,,311.5918,the,.,national_demog
0,2005,Nativity,Native-Born,,,,,,,,2005,0.78863,0.00276,,,,0.822,,,,,United States,National,7.8863,275.83789,the,.,national_demog
0,1998,,,,-0.45872,0.27095,1.09585,28.57143,55.59968,92.60419,1998,0.8084,0.0029,0.3,1998,107.35,,,,0.09,0.21,United States,National,8.084,290,the,basically no changes ,National_Profile
0,2001,Age,Ages 35-44,,,,,,,,2001,0.82346,0.0027,,,,0.2739,,,,,United States,National,8.2346,270.2485,the,.,national_demog
0,1999,Education,Less than High School,,,,,,,,1999,0.73785,0.00293,,,,0.1373,,,,,United States,National,7.3785,293.4469,the,.,national_demog
0,2010,Nativity,Native-Born,,,,,,,,2010,0.76961,0.00283,,,,0.7051,,,,,United States,National,7.6961,282.5871,the,.,national_demog
0,2008,Nativity,Native-Born,,,,,,,,2008,0.80091,0.0028,,,,0.7385,,,,,United States,National,8.0091,279.92859,the,.,national_demog
0,2005,Education,High School Graduate,,,,,,,,2005,0.78332,0.00278,,,,0.2892,,,,,United States,National,7.8332,278.25201,the,.,national_demog
0,2004,Age,Ages 35-44,,,,,,,,2004,0.7441,0.00311,,,,0.2571,,,,,United States,National,7.441,311.1824,the,.,national_demog
0,1996,Race,Black,,,,,,,,1996,,0.00214,,,,0.0843,,,,,United States,National,,214.21159,the,.,national_demog
0,1997,Gender,Female,,,,,,,,1997,,0.00211,,,,0.3994,,,,,United States,National,,211.4149,the,.,national_demog
0,2008,Race,Other,,,,,,,,2008,,,,,,0.0236,,,,,United States,National,,,the,.,national_demog
0,2009,Gender,Female,,,,,,,,2009,0.87295,0.00247,,,,0.385,,,,,United States,National,8.7295,246.95061,the,.,national_demog
0,2001,Education,College Graduate,,,,,,,,2001,0.85467,0.00312,,,,0.3121,,,,,United States,National,8.5467,312.39471,the,.,national_demog
0,2004,Gender,Female,,,,,,,,2004,0.85664,0.00237,,,,0.4133,,,,,United States,National,8.5664,236.7234,the,.,national_demog
